"Source:","E:\source\diyBMS-CurrentShunt\CurrentShuntCircuit\CurrentShuntCircuit.sch"
"Date:","30/04/2021 10:03:40"
"Tool:","Eeschema (5.1.5)-3"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","48"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSCStockCode","PartNumber"
"","","C1","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C28323","CL21B105KBFNNNE"
"","","C2","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C28323","CL21B105KBFNNNE"
"","","C3","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","","C49678","CC0805KRX7R9BB104"
"","","C4","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","","C49678","CC0805KRX7R9BB104"
"","","C5","1uF 100V","Device:C","Capacitor_SMD:C_1206_3216Metric","https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL31B105KCHNNNE_C13832.pdf","C13832","CL31B105KCHNNNE"
"","","C6","100nF 100V","Device:C","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/szlcsc/2008131833_KEMET-C0805C104K1RECAUTO_C696367.pdf","C696367","C0805C104K1RECAUTO"
"","","C7","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C28323","CL21B105KBFNNNE"
"","","C8","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C1710","CL21B103KBANNNC"
"","","C9","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C1710","CL21B103KBANNNC"
"","","C10","3.3nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C53175","CL21B332KBANNNC"
"","","C11","47µF ±10% 16V Ceramic X5R","Device:C","Capacitor_SMD:C_1210_3225Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM32ER61C476KE15-01.pdf","C77101","GRM32ER61C476KE15L"
"","","C12","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","","C49678","CC0805KRX7R9BB104"
"","","C13","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","","C49678","CC0805KRX7R9BB104"
"","","C14","100nF 100V","Device:C","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/szlcsc/2008131833_KEMET-C0805C104K1RECAUTO_C696367.pdf","C696367","C0805C104K1RECAUTO"
