Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,-189.400000,-111.850000,0.000000,Bottom
C2,1uF,C_0805_2012Metric,-164.090000,-116.350000,0.000000,Bottom
C3,100nF,C_0805_2012Metric,-189.400000,-109.550000,0.000000,Bottom
C4,100nF,C_0805_2012Metric,-164.090000,-114.250000,0.000000,Bottom
C5,1uF 100V,C_1206_3216Metric,-220.850000,-103.380000,0.000000,Bottom
C6,100nF 100V,C_0805_2012Metric,-225.100000,-103.330000,0.000000,Bottom
C7,1uF,C_0805_2012Metric,-216.040000,-107.830000,0.000000,Bottom
C8,10nF,C_0805_2012Metric,-203.590000,-115.270000,0.000000,Bottom
C9,10nF,C_0805_2012Metric,-209.160000,-115.270000,0.000000,Bottom
C10,3.3nF,C_0805_2012Metric,-209.160000,-113.140000,0.000000,Bottom
C11,47µF ±10% 16V Ceramic X5R,C_1210_3225Metric,-203.200000,-105.400000,180.000000,Bottom
C12,100nF,C_0805_2012Metric,-144.750000,-122.150000,270.000000,Bottom
C13,100nF,C_0805_2012Metric,-158.250000,-114.150000,90.000000,Bottom
C14,100nF 100V,C_0805_2012Metric,-188.420000,-104.890000,180.000000,Bottom
D1,400V 1A 1.3V @ 1A 150ns SMA,D_SMA,-212.250000,-121.150000,270.000000,Bottom
R1,10R,R_0805_2012Metric,-192.050000,-104.860000,0.000000,Bottom
R2,10R,R_0805_2012Metric,-176.050000,-104.850000,180.000000,Bottom
R3,680k,R_0805_2012Metric,-216.020000,-104.180000,0.000000,Bottom
R4,150k,R_0805_2012Metric,-207.600000,-102.180000,0.000000,Bottom
R5,470k,R_0805_2012Metric,-205.470000,-113.180000,0.000000,Bottom
R6,10k,R_0805_2012Metric,-202.580000,-108.160000,0.000000,Bottom
R7,10k,R_0805_2012Metric,-202.550000,-110.310000,180.000000,Bottom
R8,330R,R_0805_2012Metric,-190.990000,-122.430000,270.000000,Bottom
R9,2k2,R_0805_2012Metric,-178.450000,-108.150000,270.000000,Bottom
R10,2k2,R_0805_2012Metric,-180.450000,-108.150000,270.000000,Bottom
R11,100K,R_0805_2012Metric,-180.550000,-116.720000,0.000000,Bottom
R12,120R,R_0805_2012Metric,-161.000000,-109.250000,0.000000,Bottom
R13,10K,R_0805_2012Metric,-144.750000,-118.150000,90.000000,Bottom
R14,330R,R_0805_2012Metric,-164.500000,-106.000000,0.000000,Bottom
R15,330R,R_0805_2012Metric,-164.500000,-109.250000,0.000000,Bottom
R16,470R,R_0805_2012Metric,-164.070000,-118.370000,0.000000,Bottom
U1,TLP172GM,SO-4_4.4x3.6mm_P2.54mm,-196.540000,-122.780000,0.000000,Bottom
U2,ATtiny1614-SS,SOIC-14_3.9x8.7mm_P1.27mm,-172.000000,-114.050000,0.000000,Bottom
U3,INA228,VSSOP-10_3x3mm_P0.5mm,-184.050000,-107.900000,180.000000,Bottom
U4,ADM2483xRW,SOIC-16W_7.5x10.3mm_P1.27mm,-151.500000,-118.150000,180.000000,Bottom
U5,LM5009A,MSOP-8_3x3mm_P0.65mm,-209.700000,-107.030000,0.000000,Bottom
D2,GREEN,LED_0805_2012Metric,188.000000,-109.800000,0.000000,top
D3,RED,LED_0805_2012Metric,180.000000,-109.800000,0.000000,top
L1,1mH ±20% 250mA,L_TDK_SLF7045,206.060000,-120.940000,180.000000,top
