Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0805_2012Metric",189.400000,-111.850000,0.000000,bottom
"C2","1uF","C_0805_2012Metric",165.200000,-118.550000,0.000000,bottom
"C3","100nF","C_0805_2012Metric",189.400000,-109.550000,0.000000,bottom
"C4","100nF","C_0805_2012Metric",165.200000,-116.450000,0.000000,bottom
"C5","1uF 100V","C_1206_3216Metric",220.850000,-105.500000,0.000000,bottom
"C6","100nF 100V","C_0805_2012Metric",225.100000,-105.450000,0.000000,bottom
"C7","1uF","C_0805_2012Metric",216.040000,-109.950000,0.000000,bottom
"C8","10nF","C_0805_2012Metric",206.200000,-114.250000,0.000000,bottom
"C9","10nF","C_0805_2012Metric",216.950000,-114.250000,0.000000,bottom
"C10","3.3nF","C_0805_2012Metric",213.336666,-114.250000,0.000000,bottom
"C11","47µF ±10% 16V Ceramic X5R","C_1210_3225Metric",203.200000,-105.400000,180.000000,bottom
"C12","100nF","C_0805_2012Metric",144.750000,-122.150000,270.000000,bottom
"C13","100nF","C_0805_2012Metric",158.250000,-114.150000,90.000000,bottom
"R1","10R","R_0805_2012Metric",192.050000,-104.850000,0.000000,bottom
"R2","10R","R_0805_2012Metric",176.050000,-104.850000,180.000000,bottom
"R3","680k","R_0805_2012Metric",216.020000,-106.300000,0.000000,bottom
"R4","150k","R_0805_2012Metric",207.600000,-104.300000,0.000000,bottom
"R5","470k","R_0805_2012Metric",209.793333,-114.280000,0.000000,bottom
"R6","10k","R_0805_2012Metric",203.300000,-109.300000,0.000000,bottom
"R7","10k","R_0805_2012Metric",203.270000,-111.450000,180.000000,bottom
"R8","330R","R_0805_2012Metric",186.400000,-119.500000,0.000000,bottom
"R9","2k2","R_0805_2012Metric",178.450000,-108.150000,270.000000,bottom
"R10","2k2","R_0805_2012Metric",180.450000,-108.150000,270.000000,bottom
"R11","100K","R_0805_2012Metric",179.250000,-118.350000,0.000000,bottom
"R12","120R","R_0805_2012Metric",161.000000,-109.250000,0.000000,bottom
"R13","10K","R_0805_2012Metric",144.750000,-118.150000,90.000000,bottom
"R14","330R","R_0805_2012Metric",164.500000,-106.000000,0.000000,bottom
"R15","330R","R_0805_2012Metric",164.500000,-109.250000,0.000000,bottom
"R16","470R","R_0805_2012Metric",168.750000,-120.100000,0.000000,bottom
"U1","TLP172GM","SO-4_4.4x3.6mm_P2.54mm",197.200000,-122.200000,0.000000,bottom
"U2","ATtiny1614-SS","SOIC-14_3.9x8.7mm_P1.27mm",172.000000,-114.050000,270.000000,bottom
"U3","INA228","VSSOP-10_3x3mm_P0.5mm",184.050000,-107.900000,90.000000,bottom
"U4","ADM2483xRW","SOIC-16W_7.5x10.3mm_P1.27mm",151.500000,-118.150000,90.000000,bottom
"U5","LM5009A","MSOP-8_3x3mm_P0.65mm",209.700000,-109.150000,0.000000,bottom
"D1","400V 1A 1.3V @ 1A 150ns SMA","D_SMA",216.050000,-120.950000,270.000000,top
"D2","GREEN","LED_0805_2012Metric",188.000000,-109.800000,0.000000,top
"D3","RED","LED_0805_2012Metric",180.000000,-109.800000,0.000000,top
"L1","1mH ±20% 250mA","L_TDK_SLF7045",208.200000,-120.700000,180.000000,top
