"Comment","Designator","Footprint","LCSC Part #"
"3.3nF","C10","C_0805_2012Metric","C53175"
"10nF","C8,C9","C_0805_2012Metric","C1710"
"100nF","C3,C4,C12,C13,C15,C17","C_0805_2012Metric","C49678"
"1uF","C1,C2,C7,C16","C_0805_2012Metric","C28323"
"1uF","C5","C_1206_3216Metric","C13832"
"47uF","C11","C_1210_3225Metric","C77101"
"100nF 100V","C6,C14","C_0805_2012Metric","C696367"
"400V 1A 1.3V @ 1A 150ns SMA","D1","D_SMA","C85103"
"GREEN","D2","LED_0805_2012Metric","C2297"
"RED","D3","LED_0805_2012Metric","C84256"
"Through Hole PTC","F1","Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm","C2680606"
"Debug/UPDI","J3","PinHeader_1x08_P2.54mm_Vertical","C124381"
"ScrewTerminal","J6","Terminal-Block_3.81_2P-LCSC_C395878","C395878"
"Screw_Terminal_01x04","J4,J7","Terminal-Block_3.81_4P_LCSC_C395880","C395880"
"1mH","L1","L_TDK_SLF7045","C91523"
"10R","R1,R2","R_0805_2012Metric","C17415"
"120R","R20","R_0805_2012Metric","C17437"
"330R","R8,R14,R15","R_0805_2012Metric","C17630"
"470R","R13,R16,R17,R18","R_0805_2012Metric","C17710"
"4k7","R9,R10,R12,R19,R21","R_0805_2012Metric","C17673"
"10k","R6,R7","R_0805_2012Metric","C17414"
"100K","R11","R_0805_2012Metric","C17407"
"150k","R4","R_0805_2012Metric","C17470"
"470k","R5","R_0805_2012Metric","C17709"
"680k","R3","R_0805_2012Metric","C17797"
"SW_DIP_x02","SW1","SW_DIP_SPSTx02_Slide_6.7x6.64mm_W7.62mm_P2.54mm_LowProfile","C458081"
"6N137S(TA)","U4,U7,U8","SOP-8_6.62x9.15mm_P2.54mm","C16496"
"ATtiny1614-SS","U2","SOIC-14_3.9x8.7mm_P1.27mm","C481364"
"INA228","U3","VSSOP-10_3x3mm_P0.5mm","C2887910"
"LM5009A","U5","MSOP-8_3x3mm_P0.65mm","C477978"
"SP485EEN-L/TR","U6","SOIC-8_3.9x4.9mm_P1.27mm","C6855"
"TLP172GM","U1","SO-4_4.4x3.6mm_P2.54mm","C261926"
