Designator,Mid X,Mid Y,Layer,Rotation
"C1",189.4000,-111.8500,bottom,0.0000
"C2",164.0900,-116.3500,bottom,0.0000
"C3",189.4000,-109.5500,bottom,0.0000
"C4",164.0900,-114.2500,bottom,0.0000
"C5",220.8500,-103.3800,bottom,0.0000
"C6",225.1000,-103.3300,bottom,0.0000
"C7",216.0400,-107.8300,bottom,0.0000
"C8",203.5900,-115.2700,bottom,0.0000
"C9",209.1600,-115.2700,bottom,0.0000
"C10",209.1600,-113.1400,bottom,0.0000
"C11",203.2000,-105.4000,bottom,180.0000
"C12",160.2500,-102.1500,bottom,0.0000
"C13",172.8500,-102.6500,bottom,0.0000
"C14",188.4200,-104.8900,bottom,180.0000
"C15",157.3000,-114.7000,bottom,0.0000
"C16",157.3000,-116.9000,bottom,0.0000
"C17",149.2500,-102.1500,bottom,0.0000
"D1",212.2500,-121.1500,bottom,270.0000
"D2",188.0000,-109.8000,top,0.0000
"D3",180.0000,-109.8000,top,0.0000
"L1",206.0600,-120.9400,bottom,180.0000
"R1",192.0500,-104.8600,bottom,0.0000
"R2",176.0500,-104.8500,bottom,180.0000
"R3",216.0200,-104.1800,bottom,0.0000
"R4",207.6000,-102.1800,bottom,0.0000
"R5",205.4700,-113.1800,bottom,0.0000
"R6",202.5800,-108.1600,bottom,0.0000
"R7",202.5500,-110.3100,bottom,180.0000
"R8",190.9900,-122.4300,bottom,270.0000
"R9",178.4500,-108.1500,bottom,270.0000
"R10",180.4500,-108.1500,bottom,270.0000
"R11",180.5500,-116.7200,bottom,0.0000
"R12",163.7500,-102.1500,bottom,0.0000
"R13",152.3500,-86.6000,bottom,180.0000
"R14",164.5000,-106.0000,bottom,0.0000
"R15",164.5000,-109.2500,bottom,0.0000
"R16",164.0700,-118.3700,bottom,0.0000
"R17",170.7000,-86.6000,bottom,180.0000
"R18",160.0500,-86.6000,bottom,0.0000
"R19",148.3500,-121.5000,bottom,0.0000
"R20",156.2000,-103.4000,bottom,0.0000
"R21",152.3000,-121.5000,bottom,0.0000
"U1",196.5400,-122.7800,bottom,180.0000
"U2",172.0000,-114.0500,bottom,0.0000
"U3",184.0500,-107.9000,bottom,180.0000
"U4",174.3500,-94.2500,bottom,0.0000
"U5",209.7000,-107.0300,bottom,0.0000
"U6",150.3000,-116.4000,bottom,90.0000
"U7",162.0500,-94.2500,bottom,0.0000
"U8",151.7000,-94.2500,bottom,0.0000
