Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0805_2012Metric",189.4000,-111.8500,0.0000,bottom
"C2","1uF","C_0805_2012Metric",164.0900,-116.3500,0.0000,bottom
"C3","100nF","C_0805_2012Metric",189.4000,-109.5500,0.0000,bottom
"C4","100nF","C_0805_2012Metric",164.0900,-114.2500,0.0000,bottom
"C5","1uF","C_1206_3216Metric",220.8500,-103.3800,0.0000,bottom
"C6","100nF 100V","C_0805_2012Metric",225.1000,-103.3300,0.0000,bottom
"C7","1uF","C_0805_2012Metric",216.0400,-107.8300,0.0000,bottom
"C8","10nF","C_0805_2012Metric",203.5900,-115.2700,0.0000,bottom
"C9","10nF","C_0805_2012Metric",209.1600,-115.2700,0.0000,bottom
"C10","3.3nF","C_0805_2012Metric",209.1600,-113.1400,0.0000,bottom
"C11","47uF","C_1210_3225Metric",203.2000,-105.4000,180.0000,bottom
"C12","100nF","C_0805_2012Metric",160.2500,-102.1500,0.0000,bottom
"C13","100nF","C_0805_2012Metric",172.8500,-102.6500,0.0000,bottom
"C14","100nF 100V","C_0805_2012Metric",188.4200,-104.8900,180.0000,bottom
"C15","100nF","C_0805_2012Metric",157.3000,-114.7000,0.0000,bottom
"C16","1uF","C_0805_2012Metric",157.3000,-116.9000,0.0000,bottom
"C17","100nF","C_0805_2012Metric",149.2500,-102.1500,0.0000,bottom
"D1","400V 1A 1.3V @ 1A 150ns SMA","D_SMA",212.2500,-121.1500,270.0000,bottom
"L1","1mH","L_TDK_SLF7045",206.0600,-120.9400,180.0000,bottom
"R1","10R","R_0805_2012Metric",192.0500,-104.8600,0.0000,bottom
"R2","10R","R_0805_2012Metric",176.0500,-104.8500,180.0000,bottom
"R3","680k","R_0805_2012Metric",216.0200,-104.1800,0.0000,bottom
"R4","150k","R_0805_2012Metric",207.6000,-102.1800,0.0000,bottom
"R5","470k","R_0805_2012Metric",205.4700,-113.1800,0.0000,bottom
"R6","10k","R_0805_2012Metric",202.5800,-108.1600,0.0000,bottom
"R7","10k","R_0805_2012Metric",202.5500,-110.3100,180.0000,bottom
"R8","330R","R_0805_2012Metric",190.9900,-122.4300,270.0000,bottom
"R9","4k7","R_0805_2012Metric",178.4500,-108.1500,270.0000,bottom
"R10","4k7","R_0805_2012Metric",180.4500,-108.1500,270.0000,bottom
"R11","100K","R_0805_2012Metric",180.5500,-116.7200,0.0000,bottom
"R12","4k7","R_0805_2012Metric",163.7500,-102.1500,0.0000,bottom
"R13","470R","R_0805_2012Metric",152.3500,-86.6000,180.0000,bottom
"R14","330R","R_0805_2012Metric",164.5000,-106.0000,0.0000,bottom
"R15","330R","R_0805_2012Metric",164.5000,-109.2500,0.0000,bottom
"R16","470R","R_0805_2012Metric",164.0700,-118.3700,0.0000,bottom
"R17","470R","R_0805_2012Metric",170.7000,-86.6000,180.0000,bottom
"R18","470R","R_0805_2012Metric",160.0500,-86.6000,0.0000,bottom
"R19","4k7","R_0805_2012Metric",148.3500,-121.5000,0.0000,bottom
"R20","120R","R_0805_2012Metric",156.2000,-103.4000,0.0000,bottom
"R21","4k7","R_0805_2012Metric",152.3000,-121.5000,0.0000,bottom
"U1","TLP172GM","SO-4_4.4x3.6mm_P2.54mm",196.5400,-122.7800,0.0000,bottom
"U2","ATtiny1614-SS","SOIC-14_3.9x8.7mm_P1.27mm",172.0000,-114.0500,270.0000,bottom
"U3","INA228","VSSOP-10_3x3mm_P0.5mm",184.0500,-107.9000,90.0000,bottom
"U4","H11L1S(TA)","SMD-6_6.5x7.1x2.54P",174.3500,-94.2500,0.0000,bottom
"U5","LM5009A","MSOP-8_3x3mm_P0.65mm",209.7000,-107.0300,0.0000,bottom
"U6","SP485EEN-L/TR","SOIC-8_3.9x4.9mm_P1.27mm",150.3000,-116.4000,0.0000,bottom
"U7","H11L1S(TA)","SMD-6_6.5x7.1x2.54P",162.0500,-94.2500,0.0000,bottom
"U8","H11L1S(TA)","SMD-6_6.5x7.1x2.54P",151.7000,-94.2500,0.0000,bottom
