"Source:","E:\source\diyBMS-CurrentShunt\diyBMS-CurrentShunt\diyBMS-CurrentShunt.sch"
"Date:","27/07/2020 15:31:26"
"Tool:","Eeschema (5.1.5)-3"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","45"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSCExtendedPart","LCSCPart","MPN"
"","","BATT_NEG1","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","LCSC parts:Terminal-Block_3.81_2P-LCSC_C395878","https://datasheet.lcsc.com/szlcsc/1912111437_DIBO-DB125-3-81-2P-GN_C395878.pdf","","C395878","DB125-3.81-2P-GN"
"","","C1","1µF, 100V, X7R","Device:C","Capacitors_SMD:C_1206","https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL31B105KCHNNNE_C13832.pdf","YES","C13832","CL31B105KCHNNNE"
"","","C2","0.1µF, 100V, X7R","Device:C","Capacitors_SMD:C_1206","https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL31B104KCFNNNE_C1945.pdf","YES","C1945","CL31B104KCFNNNE"
"","","C3","MLCC 22PF 50V","Device:C","Capacitors_SMD:C_0603","https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL10C220JB8NNNC_C1653.pdf","NO","C1653","CL10C220JB8NNNC"
"","","C4","MLCC 22UF 25V","Device:C","Capacitors_SMD:C_0805","https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL21A226MAQNNNE_C45783.pdf","NO","C45783","CL21A226MAQNNNE"
"","","C5","MLCC 100NF 16V","Device:C","Capacitors_SMD:C_0402","https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf","NO","C1525","CL05B104KO5NNNC"
"","","C6","MLCC 22NF 50V","Device:C","Capacitors_SMD:C_0603","https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL10B223KB8NNNC_C21122.pdf","NO","C21122","CL10B223KB8NNNC"
"","","C7","MLCC 22PF 50V","Device:C","Capacitors_SMD:C_0603","https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL10C220JB8NNNC_C1653.pdf","NO","C1653","CL10C220JB8NNNC"
"","","C8","MLCC 100NF 16V","Device:C","Capacitors_SMD:C_0402","https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf","NO","C1525","CL05B104KO5NNNC"
"","","C9","MLCC 100NF 16V","Device:C","Capacitors_SMD:C_0402","https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf","NO","C1525","CL05B104KO5NNNC"
"","","C10","MLCC 100NF 16V","Device:C","Capacitors_SMD:C_0402","https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf","NO","C1525","CL05B104KO5NNNC"
"","","C11","MLCC 2.2NF 50V","Device:C","Capacitors_SMD:C_0603","https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0603B222K500NT_C1604.pdf","NO","C1604","0603B222K500NT"
"","","C12","MLCC 100NF 16V","Device:C","Capacitors_SMD:C_0402","https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf","NO","C1525","CL05B104KO5NNNC"
"","","C13","MLCC 100NF 16V","Device:C","Capacitors_SMD:C_0402","https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf","NO","C1525","CL05B104KO5NNNC"
