"Comment","Designator","Footprint","LCSC Part #"
"0.1µF, 100V, X7R","C2","C_1206","C1945"
"22PF 50V","C3,C7","C_0805","C1804"
"10nF","C4,C6","C_0805","C1710"
"1uF 16V X7R","C5","C_0805","C28323"
"100NF 50V","C8,C13,C14,C15,C16","C_0805","C49678"
"3.3nF","C9","C_0805","C53175"
"10uF","C10","C_0805","C15850"
"1µF, 100V, X7R","C17,C1","C_1206","C13832"
"SMAJ58A","D2","D_SMA","C115922"
"B1100LB-13-F","D3","D_SMB","C85106"
"Fuse 60V 0.1A hold","F1","Fuse_SMD1206_Reflow","C70065"
"Screw_Terminal_01x04","J1,J4","Terminal-Block_3.81_4P_LCSC_C395880","C395880"
"1mH ±20% 2.736Ω Inductor","L1","L_7.3x7.3_H4.5","C91523"
"BLUE","LED1","LED_0805","C2293"
"GREEN","LED2","LED_0805","C2297"
"2K2","R2,R1,R8,R7,R10","R_0805","C17520"
"220K","R3","R_0805","C17556"
"150K","R4","R_0805","C17470"
"330K","R5","R_0805","C17629"
"10K","R6,R9","R_0805","C17414"
"31.6K","R11","R_0805","C17623"
"LTC2944CDD-PBF","U1","DFN-8-1EP_3x3mm_Pitch0.5mm","C683669"
"ATmega328-AU","U2","TQFP-32_7x7mm_Pitch0.8mm","C14877"
"ADM2483BRWZ-REEL","U4","SOIC-16W_7.5x10.3mm_Pitch1.27mm","C9637"
"LM5009MM","U5","MSOP-8_3x3mm_Pitch0.65mm","C53606"
"12Mhz","Y1","Crystal_SMD_3225-4pin_3.2x2.5mm","C9002"
