"Comment","Designator","Footprint","LCSC Part #"
"Screw_Terminal_01x02","BATT_NEG1","Terminal-Block_3.81_2P-LCSC_C395878","C395878"
"1µF, 100V, X7R","C1","C_1206","C13832"
"0.1µF, 100V, X7R","C2","C_1206","C1945"
"MLCC 22PF 50V","C3,C7","C_0603","C1653"
"MLCC 22UF 25V","C4","C_0805","C45783"
"MLCC 100NF 16V","C5,C8,C12,C9,C10,C13,C14,C15,C16","C_0402","C1525"
"MLCC 22NF 50V","C6","C_0603","C21122"
"MLCC 2.2NF 50V","C11","C_0603","C1604"
"100V 1A SCHOTTKY DIODES (SBD)","D1","D_SOD-123F","C475665"
"Fuse 60V 0.1A hold","F1","Fuse_SMD1206_HandSoldering","C70065"
"Screw_Terminal_01x04","J1","Terminal-Block_3.81_4P_LCSC_C395880","C395880"
"220uh","L1","L_12x12mm_h8mm","C169380"
"BLUE","LED1","LED_0805","C2293"
"GREEN","LED2","LED_0805","C2297"
"2K2","R2,R1,R8,R7,R10","R_0603","C4190"
"2K4","R5","R_0603","C22940"
"7K5","R6","R_0603","C23234"
"10K","R9","R_0603","C25804"
"110K","R11","R_0603","C25805"
"120R","R12","R_0603","C22787"
"33K","R14,R13","R_0603","C4216"
"240K","Rcl1","R_0603","C4197"
"330K","Ron1","R_0603","C23137"
"Screw_Terminal_01x02","SHUNT1","Terminal-Block_3.81_2P-LCSC_C395878","C395878"
"LTC2944CDD-PBF","U1","DFN-8-1EP_3x3mm_Pitch0.5mm","C683669"
"ATmega328-AU","U2","TQFP-32_7x7mm_Pitch0.8mm","C14877"
"LM5009MM","U3","MSOP-8_3x3mm_Pitch0.65mm","C53606"
"ADM2483BRWZ-REEL","U4","SOIC-16W_7.5x10.3mm_Pitch1.27mm","C9637"
"12Mhz","Y1","Crystal_SMD_3225-4pin_3.2x2.5mm","C9002"
